place_id,name,formatted_address,website,formatted_phone_number,Inep,city,qedu_url,Sistema de Ensino
ChIJDZFEDd2uAAcRErcl8mOA7EQ,Educandário São Joaquim | Santa Casa de Misericórdia do Recife,"R. Do Comercio, 50 - Frei Caneca, Jaqueira - PE, 55409-000, Brazil",http://www.santacasarecife.org.br/unidades/educandario-sao-joaquim/,(81) 3689-1107,26100592,"JAQUEIRA
 ",http://qedu.org.br/escola/94795-educandario-sao-joaquim/sobre,
ChIJBdao_7eqAAcRvU12evafka4,Escola Parque Nossa Senhora das Graças,"R. Cel. Solano Tenorio de Moura, 28 - Centro, Lagoa dos Gatos - PE, 55450-000, Brazil",,(81) 98132-6737,26145880,"LAGOA DOS GATOS
 ",http://www.qedu.org.br/escola/89184-escola-parque-nossa-senhora-das-gracas/sobre,
ChIJDZFEDd2uAAcR0xzk0WxoVTo,Aécio Barros de Oliveira,"Av. Dorinha Rodrigues, S/N - Centro, Jaqueira - PE, 55409-000, Brazil",,(41) 5540-9000,26145006,"JAQUEIRA
 ",http://www.qedu.org.br/escola/86900-em-aecio-barros-de-oliveira/censo-escolar,
ChIJZ3hOdFVIxwcR05wrxYtCymk,Colégio Superação,"R. Visc. do Rio Branco, 1485 - Centro, Palmares - PE, 55540-000, Brazil",,(81) 3661-0066,26101840,"PALMARES
 ",https://www.qedu.org.br/escola/90759-colegio-superacao/censo-escolar,
ChIJgSUZT_4YqwcRN0VQmeuvflA,Colégio Núcleo,"Av. Rui Barbosa, 1680 - Graças, Recife - PE, 52050-000, Brazil",http://www.colegionucleo.com.br/,(81) 3034-1177,26137631,"RECIFE
 ",https://www.qedu.org.br/escola/265328-colegio-nucleo/censo-escolar,Bilíngue;Google for Education
ChIJpS1d2FUYqwcRGcKdUUwPRto,CBV - Jaqueira,"R. Dr. José Maria, 1106 - Tamarineira, Recife - PE, 52041-800, Brazil",http://www.colegiocbv.com.br/,(81) 3465-4444,26187604,"RECIFE
 ",http://qedu.org.br/escola/287808-colegio-cbv-jaqueira/sobre,
ChIJu9J5UP8YqwcRb_N1rq6xx98,educandario nossa senhora de lourdes,"R. Antenor Navarro, 60 - Aflitos, Recife - PE, 52050-080, Brazil",http://www.cnslrecife.com.br/,(81) 3441-9396,26122189,"RECIFE
 ",https://qedu.org.br/escola/95998-colegio-nossa-sra-de-lourdes/sobre,Bilíngue
ChIJ47zS4wUZqwcRSdr8XDoYg4g,Colégio Cognitivo,"R. Sant'Anna, 213 - Santana, Recife - PE, 52060-460, Brazil",http://www.colegiocognitivo.com.br/,(81) 3269-0047,26534711,"RECIFE
 ",https://qedu.org.br/escola/95135-colegio-cognitivo/sobre,
ChIJsYF5LA8ZqwcR8NzUvxiz4v0,Colégio 17 de AGOSTO,"Rua do Chacon, 245 - Casa Forte, Recife - PE, 52061-400, Brazil",http://www.colegio17deagosto.g12.br/?area=contato,(81) 3268-6501,26528711,"RECIFE
 ",http://www.qedu.org.br/escola/95637-colegio-17-de-agosto/sobre,
ChIJ4ZdzAggfqwcRqJaJWnypfkQ,Colégio CBV Boa Viagem,"Rua Professor Eduardo Wanderley Filho, 539 - Boa Viagem, Recife - PE, 51020-170, Brazil",http://www.colegiocbv.com.br/,(81) 3465-4444,26117991,"RECIFE
 ",https://www.qedu.org.br/escola/83309-colegio-boa-viagem-ltda/sobre,
