place_id,name,formatted_address,website,formatted_phone_number,Inep,city,qedu_url,Sistema de Ensino,Escola é Bilíngue?,Comunidade que a escola pertence
ChIJUZvIpyt4GZURscrwcWbDj9I,Curso Peristroica,"Rua Furriel Luíz Antônio de Vargas, 250 - Bela Vista, Porto Alegre - RS, 91787-213, Brazil",,(51) 3061-5564,43104983,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/255309-colegio-israelita-brasileiro/sobre,,,
ChIJfe1S1id4GZURxBjqnn7TUFE,Centro de Ensino e Cultura,"Av. João Obino, 300 - Petrópolis, Porto Alegre - RS, 90470-150, Brazil",,(51) 3013-5683,43188087,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/230512-creare-cultura-recreacao-artes-e-educacao/sobre,,,
ChIJe9zDWC54GZURxQuPFmD4ZyQ,Escola de Educação Infantil Balão Azul - VIVÊNCIAS BILÍNGUE,"R. Prof. José Salgado Martins, 191 - Bela Vista, Porto Alegre - RS, 90450-150, Brazil",http://balaoazulpoa.com.br/,(51) 3028-8800,31309923,"DIVINÓPOLIS
 ",https://www.qedu.org.br/escola/146206-educacao-infantil-recreacao-balao-azul/censo-escolar,,Sim,
ChIJucglKJN3GZURy49inKfTqoI,Pan American School of Porto Alegre,"Av. João Obino, 110 - Petrópolis, Porto Alegre - RS, 90470-150, Brazil",http://www.panamerican.com.br/,(51) 3334-5866,43107524,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/218865-colegio-metodista-americano/censo-escolar,,,
ChIJayZd04N3GZURcKnWd-Cnlns,"Colégio Monteiro Lobato - Educação Infantil, Fundamental e de Ensino Médio","Rua 14 de Julho, 687 - Boa Vista, Porto Alegre - RS, 91340-430, Brazil",http://www.colegiomonteirolobato.com.br/,(51) 3328-5035,43109330,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/257975-eeb-colegio-monteiro-lobato/sobre,,,
ChIJgQ7QeoR3GZURPhiQUNkDTSs,Colégio Província de São Pedro,"Av. Marechal Andréa, 345 - Boa Vista, Porto Alegre - RS, 91340-400, Brazil",http://www.colegioprovincia.com.br/,(51) 3328-2810,43108423,"PORTO ALEGRE
 ",https://www.qedu.org.br/escola/254058-colegio-provincia-de-sao-pedro/sobre,,,
ChIJ_fd4pMt5GZURpwjRQqVZ0LA,Escola de Educação Infantil Gente Miúda,"Tv. Angustura, 66 - Moinhos de Vento, Porto Alegre - RS, 90440-030, Brazil",https://www.escolagentemiudapoa.com.br/,(51) 99579-0050,43211313,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/234126-eei-gente-miudinha/sobre,,,
ChIJUzyUCYV3GZURNWRhyEMzp3o,Anchieta College,"Av. Dr. Nilo Peçanha, 1521 - Três Figueiras, Porto Alegre - RS, 91330-000, Brazil",http://www.colegioanchieta.g12.br/,(51) 3382-6000,43104924,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/257509-colegio-anchieta/sobre,,Sim,
ChIJ1XKfFy94GZURroBF1fuKJJ0,Escola Despertar Educação Infantil,"R. Armando Pereira Câmara, 110 - Petrópolis, Porto Alegre - RS, 90470-070, Brazil",http://www.escoladespertar.com.br/,(51) 3388-4238,43201466,"PORTO ALEGRE
 ",https://qedu.org.br/escola/255683-despertar-educacao-infantil-ltda/sobre,,,
ChIJy12svTF4GZURlMvFxE1lOO4,Caracol Escolinha,"Rua Engenheiro Afonso Cavalcanti, 51 - Bela Vista, Porto Alegre - RS, 90440-110, Brazil",https://www.facebook.com/caracolescolinha,(51) 3332-9257,, Porto Alegre ,,,,
